Lebensmittelbezeichnung;Energie;Protein;Fett;Kohlenhydrate;Ballaststoffe
Hafer ganzes Korn, roh;343;11,375;7,09;53,7;9,3
Hafer Flocken;348;13,22;6,65;53,3;10,983
Gerste ganzes Korn, roh;332;11,244;2,1;62,6;8,7
Gerste Mehl;340;11,3;2;62,6;13
Mais roh;336;8,656;3,8;62,84;7,7
Mais Mehl;330;8,663;2,82;62,84;9,42
Reis poliert, roh;351;7,931;0,62;77,1;2,5
Reis parboiled, poliert, roh;333;8,125;1,03;72,1;1,4
Teigwaren eifrei, roh;346;12,4;1,6;68,833;3,406
Vollkornteigwaren eifrei, roh;356;14,3;2,93;62,9;10,2
Erdbeere roh;38;0,82;0,4;5,917;2
Himbeere roh;43;1;0,3;5,2;4,7
Maulbeere roh;51;1,37;0,39;8,1;1,7
Rucola roh;21;3,6;0,4;0;1,7
Stielmus/Rübstiel, roh;18;1,5;0,3;0,81;3,2
Gemüsepaprika grün, roh;38;1,08;0,24;6,88;2
Gemüsepaprika rot, roh;36;1,025;0,2;6,19;2,2
Kohlrübe/Steckrübe, roh;22;1,25;0,16;2,3;2,9
Knollensellerie roh;30;1,55;0,33;2,77;4,2
Weiße Rübe/Wasserrübe/Herbstrübe, roh;40;0,99;0,22;6,58;3,49
Alfalfasprossen/Alfalfakeimlinge, roh;29;4;0,69;0,3;2,8
Linsensprossen/Linsenkeimlinge, roh;29;4,65;0,39;0,3;2,8
Tofu;115;15,51;5,63;0;1,3
Seidentofu;46;4,57;2,9;0;0,6
Roquefort mind. 50 % Fett i. Tr.;363;21,5;30,6;0;0
Gorgonzola mind. 48 % Fett i. Tr.;329;18,65;28,06;0;
Milchpulver mit hohem Fettgehalt (Sahnepulver, Rahmpulver);586;21,6;42;28,3;0
Vollmilchpulver;483;24,687;26,2;35,1;0
Magermilchpulver;347;34,287;0,48;50,5;0
Buttermilchpulver;363;32,719;6,75;42,12;0
Kaffeeersatzpulver;279;3,97;0,08;51,25;28,7
Zichorienkaffeepulver;304;6,8;1,6;51,25;28,7
Apfelwein;44;0;0;4;0
Obstbrand/Obstwasser;274;0;0;0;0
Wodka;225;0;0;0;0
Rum 37,5/40 % vol;214;0;0;0;0
Honig;305;0,4;0;74,091;<LOD or <LOQ
Blütenhonig (Nektarhonig);318;0,38;0;78,557;0
Hering roh;150;17,2;9,005;0;0
Bückling (Hering) heiß geräuchert;224;21,2;15,5;0;0
Sprotte geräuchert;243;19,4;18,4;0;0
Steinbutt roh;82;16,7;1,73;0;0
Heilbutt/Weißer Heilbutt, roh;133;20,1;5,83;0;0
Karpfen roh;119;18;5,18;0;0
Blei/Brachsen/Brasse, roh;96;16,6;3,31;0;0
Barsch/Flussbarsch, roh;79;18,4;0,6;0;0
Rotbarsch/Goldbarsch, roh;92;15,3;3,47;0;0
Hummer roh;81;15,9;1,9;0;0
Garnele/Granat/Krabbe, roh;87;18,6;1,44;0;0
Europäische Auster roh;67;9;2,94;1,09;0
Miesmuschel roh;60;10,51;1,955;0;0
Schwein Fettwamme, ohne Schwarten, geringer Magerfleischanteil (S XI) roh;645;6,3;68,82;0;0
Schaf Fettgewebe, intermuskulär roh;637;5,06;68,5;0;0
Schaf Brust, mittelfett, roh;179;19,6;11,2;0;0
Schaf Brust, fett, roh;381;12;37;0;0
Schaf Bug/Schulter, mager, roh;140;19,7;6,76;0;0
Schaf Hinterhaxe, mager, roh;112;20,4;3,35;0;0
Kaninchen Fleisch, roh;133;20,8;5,5;0;0
Hase Fleisch, roh;113;21,6;3,01;0;0
Schwein Hirn, roh;123;10,6;9;0;0
Schaf Hirn, roh;119;10,4;8,58;0;0
Hafer Schrot;343;11,375;7,09;53,7;9,3
Hafer Grütze;351;15,9;5,84;53,3;10,689
Hafer Mehl;360;14,238;7,15;53,2;12,8
Hafer Kleie;371;15,6;7,7;53,3;12,9
Gerste Graupen;313;10,399;1,36;62,6;4,6
Gerste Schrot;332;11,244;2,1;62,6;8,7
Gerste Grütze;316;8,502;1,5;62,01;10,3
Gerste Flocken;332;11,244;2,1;62,6;8,7
Gerste Grieß;340;11,3;2;62,6;13
Mais Stärke;348;0,431;0,08;85,9;1
Reis Mehl;347;7,198;0,65;77,1;2
Reis unpoliert, roh;360;8,384;2,7;73,43;4
Mais Grieß;330;8,663;2,82;62,84;9,42
Mais Grütze;330;8,663;2,82;62,84;9,42
Eierteigwaren roh;342;13,2;2;66,093;3,38
Wald-Erdbeere roh;38;0,82;0,4;5,917;2
Loganbeere roh;36;1,1;0,3;3,4;4,7
Brombeere roh;49;1,3;0,2;10,2;3,2
Moltebeere roh;43;1;0,3;5,2;4,7
Johannisbeere rot, roh;39;1,438;0,2;4,3;3,5
Boysenbeere roh;48;0,5;0,3;7,01;4,7
Heidelbeere roh;61;0,5;0,6;9,7;4,9
Wald-Himbeere roh;43;1;0,3;5,2;4,7
Pfefferschote grün, roh;41;2;0,2;6,88;1,5
Gemüsepaprika gelb, roh;28;0,8;0,2;4,422;2,2
Pfefferschote rot, roh;40;1,87;0,44;6,19;1,5
Mungbohnensprossen/Mungbohnenkeimlinge, roh;19;3,2;0,3;0,3;1,24
Sojabohnensprossen/Sojabohnenkeimlinge, roh;40;6,306;1,025;0,3;2,38
Feta mind. 45 % Fett i. Tr.;284;15,68;24,09;0;<LOD
Edelpilzkäse mind. 50 % Fett i. Tr.;346;21,4;28,7;0;0
Edelpilzkäse mind. 45 % Fett i. Tr.;329;18,65;28,06;0;0
Edelpilzkäse mind. 60 % Fett i. Tr.;409;17,6;37,4;0,1;0
Süßmolkenpulver;349;10,9;1,1;72,8;0
Fruchtwein (Obstwein);43;0;0;4;0
Most;37;0;0;1,6;-
Whisky/Whiskey;231;0;0;0;0
Arrak;214;0;0;0;0
Rum 80 % vol;455;0;0;0;0
Agavenbrand (Mezcal/Tequila);234;0;0;0;0
Brand aus Zuckerrohr (Cachaca);214;0;0;0;0
Calvados;227;0;0;0;0
Spirituosen mit Kümmel/Aquavit;274;0;0;0;0
Obstgeist;274;0;0;0;0
Gerstenmalzextrakt;359;4,4;0;73,8;-
Honigtauhonig (Waldhonig);362;0,38;0;85,927;0
Sardine roh;151;19,4;8,15;0;0
Schillerlocken (Dornhai, Bauchlappen, heiß geräuchert);286;21,3;22,3;0;0
Sprotte roh;186;16,7;13,3;0;0
Goldbutt/Scholle, roh;76;17,2;0,8;0;0
Schwarzer Heilbutt roh;161;13,217;12;0;0
Katfisch/Steinbeißer, roh;82;15,8;2,13;0;0
Schleie roh;77;17,7;0,74;0;0
Wels roh;128;15,3;7,4;0;0
Pangasius/Schlankwels, roh;76;14,91;1,82;0;<LOD
Zander roh;86;20;0,66;0;0
Meeräsche roh;108;20,4;2,89;0;0
Schafskopf (Meerbrasse) roh;102;20,2;2,41;0;0
Edelkrebs/Flusskrebs, roh;64;15;0,47;0;0
Languste roh;79;17,2;1,1;0;0
Große Sandklaffmuschel roh;54;10,5;1,31;0;0
Venusmuschel roh;73;14,7;0,96;1,4;0
Pilgermuschel/Jakobsmuschel, roh;63;15,6;0,1;0;0
Schwein Rückenspeck, kernig, ohne Schwartenzug (S VIII) roh;746;4,41;80,92;0;0
Schwein Speck, ohne Schwartenzug (S VII) roh;660;6,94;70,23;0;0
Schwein Fettabschnitte, geringer Schwartenzug, sehr geringer Magerfleischanteil (S IX) roh;661;7,68;70,04;0;0
Lamm Fettgewebe, intermuskulär roh;637;5,49;68,3;0;0
Schaf Kochfleisch (Brust, fett) roh;381;12;37;0;0
Hammel Brust, roh;381;12;37;0;0
Lamm Brust, roh;290;16,3;25;0;0
Schaf Bug/Schulter, fett, roh;294;17,2;25;0;0
Lamm Bug/Schulter, roh;121;19,8;4,6;0;0
Schaf Gulasch (Bug, mager) roh;140;19,7;6,76;0;0
Schaf Bratenfleisch (Bug, mager) roh;140;19,7;6,76;0;0
Schaf Keule, mager, roh;128;22,6;4,2;0;0
Schaf Vorderhaxe, mager, roh;112;20,4;3,35;0;0
Wildkaninchen Fleisch, roh;104;20,9;2,32;0;0
Hammel Hirn, roh;126;10,9;9,1;0;0
Hafer Grieß;360;14,238;7,15;53,2;12,8
Wildreis roh;363;13,14;0,953;73,43;4
Glasnudeln aus Mungbohnenstärke, roh;350;0,237;0,056;85,9;2,67
Weizen Stärke;335;0,431;0,14;82,5;1,2
Kartoffelstärke (Kartoffelmehl);338;0,614;0,1;83,1;1
Reis Stärke;344;0,819;0,08;85;0,2
Reis Grieß;347;7,198;0,65;77,1;2
Reisnudeln roh;365;7,198;0,56;81,9;1,6
Eierteigwaren Tortellini (Fleischfüllung) getrocknet;369;13,51;7,01;61,85;2,3
Eierteigwaren Tortelloni (Ricotta-Spinat-Füllung) getrocknet;278;10,52;4,51;47,76;2
Wald-Brombeere roh;49;1,3;0,2;10,2;3,2
Moosbeere roh;69;0,4;0,7;9,93;4,9
Preiselbeere roh;43;0,6875;0,53;6,231;2,89
Johannisbeere weiß, roh;45;1,1;0,2;6,1;3,5
Johannisbeere schwarz roh;57;1,375;0,22;8,71;3,5
Salzlakenkäse aus Kuhmilch, Hirtenkäse, mind. 45 % Fett i. Tr.;259;16,361;21;0;0
Salzlakenkäse aus Schafmilch, mind. 20 % Fett i. Tr.;161;18,846;9;0;0
Salzlakenkäse aus Ziegenmilch, mind. 45 % Fett i. Tr.;271;14,9;23;0;0
Salzlakenkäse aus Schafmilch, mind. 45 % Fett i. Tr.;283;15,445;24,09;0;0
Danablu mind. 50 % Fett i. Tr.;354;21,5;29,5;0;0
Spirituosen mit Wacholder;231;0;0;0;0
Spirituosen mit Anis;231;0;0;0;0
Getreidebrand (Korn);231;0;0;0;0
Weinbrand/Brandy;221;0;0;0;0
Gin;246;0;0;0;0
Stint roh;85;17,4;1,7;0;0
Sardelle roh;204;20,1;13,7;0;0
Seeteufel roh;66;14,9;0,76;0;0
Goldbutt/Scholle, tiefgefroren;76;16,4;1,2;0;0
Flunder roh;88;16,5;2,39;0;0
Meerbarbe roh;98;20,1;2;0;0
Tintenfisch roh;73;16,1;0,98;0;0
Schwein Speck/Rückenspeck (grüner Speck) roh;746;4,41;80,92;0;0
Rind Fettgewebe, intermuskulär roh;671;8,2;70,9;0;0
Schaf Gulasch (Bug, fett) roh;294;17,2;25;0;0
Schaf Bratenfleisch (Bug, fett) roh;294;17,2;25;0;0
Hammel Bug/Schulter, roh;287;15,6;25;0;0
Ziege Fleisch, roh;127;20,55;5,005;0;0
Schaf Keule, mittelfett, roh;180;18,8;11,6;0;0
Schaf Schnitzel (Keule, mager) roh;128;22,6;4,2;0;0
Schaf Keule, fett, roh;234;18;18;0;0
Schlehe roh;52;0,75;0,22;7,82;3,5
Holunderbeere roh;72;2,53;1,7;7,83;3,5
Tapioka/Tapiokastärke;346;0,625;0,24;84,9;1
Kartoffelpüree Instantpulver;329;7,4;0,467;70,7;6,05
Pfeilwurzelmehl/Marantastärke;341;0,3;0,1;83,1;3,4
Cognac;221;0;0;0;0
Spirituosen mit bitterem Geschmack (Bitter);325;0;0;0;0
Schnecken roh;68;14,4;1,2;0;0
Seezunge roh;87;17,5;1,86;0;0
Rotzunge roh;71;15,5;1;0;0
Kalb Fettgewebe, intermuskulär roh;671;8,2;70,9;0;0
Schaf Hinterhaxe, mittelfett, roh;180;18,8;11,6;0;0
Schaf Schnitzel (Keule, mittelfett) roh;180;18,8;11,6;0;0
Hammel Keule, roh;234;18;18;0;0
Kartoffelkloß (aus rohen Kartoffeln) Trockenprodukt;320;6,03;0,227;70,7;5,67
Kartoffelkloß (aus gekochten Kartoffeln) Trockenprodukt;324;5,76;1,09;70,7;4,38
Seezunge tiefgefroren;73;16,7;0,7;0;0
Schaf Vorderhaxe, mittelfett, roh;180;18,8;11,6;0;0
Roggenvollkornbrot;193;6,04;1,81;32,49;9,62
Roggenmischbrot;218;7,38;0,97;41,96;6,1
Weizenbrot/Weißbrot;272;8,69;2,97;50,54;4
Weizenbrötchen;280;10,09;1,81;53,97;3,6
Weizen Keim;324;28,48;8,34;24,54;18,46
Quinoa weiß, roh;361;12,56;6,29;59,65;7,6
Weizen Vollkornmehl;339;12,76;1,78;61,78;12,27
Weizen Backschrot, Type 1700;341;12,52;1,8;62,39;12,56
Weizen Mehl, Type 812;352;12,44;1,38;69,29;6,54
Weizen Mehl, Type 1050;352;13,08;1,7;67,91;6,4
Weizen Mehl, Type 1600;339;14,52;2,44;59,27;11,07
Weizen Mehl, Type 405;348;10,46;0,93;71,77;5,3
Weizen Mehl, Type 550;349;11,94;1,09;70,55;4,86
Weizen Kleie;266;17,2;3,95;18,92;43,16
Roggen Mehl, Type 815;323;7,54;0,92;65,17;11,88
Dinkel Vollkornmehl;335;13,42;2,3;60,13;10,15
Buchweizen roh;339;13,05;3,13;61,86;5,53
Hirse roh;352;11,79;3,13;67,6;3,3
Cornflakes gesüßt;366;6,24;1,75;79,35;4,19
Cornflakes ungesüßt;376;7,18;0,84;82,96;4,13
Reiswaffeln ungesalzen;371;8;2,42;77,47;3,63
Maiswaffeln gesalzen;389;7,98;3,93;79,4;2,22
Cerealien extrudiert, gesüßt, ungefüllt, mit Frucht-/Honig-/Karamell-/Schokogeschmack;371;7,92;2,76;75,33;5,44
Cerealien extrudiert, gesüßt, divers gefüllt;481;6,98;21,08;63,7;4,03
Weizenpops/Weizen gepufft, gesüßt;372;9,34;1,8;76,52;5,64
Cerealien aus Vollkornweizenschrot, gesüßt, ungefüllt, Natur/Frucht/Schokolade;363;10,36;1,8;71,29;9,64
Reisdrink ungesüßt;59;0;1,04;12,31;0
Haferdrink ungesüßt;29;0,74;1,01;4;0,45
Zwieback eifrei;414;11,05;7,86;72,21;4,62
Erdnuss geröstet;620;29;49,7;9,9;8,4
Salzbrezeln/Salzstangen (Laugendauergebäck);389;11,54;4,3;73,72;4,17
Butterkekse/Butterplätzchen (Mürbeteig);456;7,54;16,12;68,89;2,41
Hühnerei roh;135;13,175;9;0,34;0
Hühnerei Pulver;562;46;41,8;0,56;0
Hühnerei Eigelb, roh;345;15,6;31,3;0,21;0
Hühnerei Eigelb, getrocknet;671;34,2;59,3;0,23;0
Hühnerei Eiklar, roh;42;9,9;0,03;0,41;0
Hühnerei Eiklar, getrocknet;338;81,1;0,12;3,1;0
Rhabarber roh;20;0,6;0,14;1,359;3,2
Apfel roh;58;0,424;0,5;11,7;2,275
Apfel getrocknet;242;1,29;<LOD;53,43;9,28
Aprikose roh;42;0,8;0,13;8,22;1,54
Aprikose getrocknet;216;2,66;0,23;44;6,04
Pfirsich gezuckert, Konserve, abgetropft;65;0,54;<LOD;14,8;1,34
Sauerkirsche gezuckert, Konserve, abgetropft;52;0,84;0,21;11,06;1,08
Pflaume getrocknet;205;2,29;<LOD;44,2;6,12
Hagebutte roh;111;3,6;0,6;16,2;6,1
Sanddornbeere roh;51;1,42;3,2;2,4;3,6
Cranberries getrocknet, gezuckert;287;0,53;0,34;68,61;3,9
Ananas gezuckert, Konserve, abgetropft;61;0,4;<LOD;14,01;1,27
Avocado roh;132;1,37;12,5;1,37;4,1
Banane roh;79;1,319;0,4;15,89;2
Dattel getrocknet;356;2,64;0,36;79,3;11,16
Feige roh;52;1,3;0,5;9,6;2,02
Feige getrocknet;276;3,54;1,28;55,17;13
Granatapfel roh;79;0,7;0,6;16,1;2,24
Kaki roh;67;0,7;0,3;14,125;2,46
Maracuja/Passionsfrucht, roh;57;0,71331;0,2;9,54;1,4
Acerola roh;16;0,21;0,23;2,66;-
Kiwi roh;61;0,9;0,5;10,1;3,9
Litschi roh;83;0,86;0,3;18,4;1,6
Mango roh;60;0,7;0,45;12;1,7
Papaya roh;46;0,7;0,09;9,6;1,9
Brotfrucht roh;100;1,3;0,3;22,529;0,9
Netzmelone/Cantaloupmelone, roh;25;0,84;0,19;4,5;0,8
Jackfrucht roh;78;1,1;0,45;15,31;4,15
Karambole/Sternfrucht, roh;27;1,2;0,5;3,5;1,9
Kaktusfeige roh;52;1;0,4;8,63;5
Feijoa/Ananas-Guave, roh;53;0,8;0,42;8,4;6,4
Orangensaft;41;0,75;<LOD or <LOQ;8,5;0,31
Mandarine gezuckert, Konserve, abgetropft;72;0,51;0,31;16,15;0,51
Bananenchips frittiert, gesüßt;490;1,88;30,32;49,35;5,16
Basilikum roh;23;3,15;0,64;0,31;1,6
Schnittlauch roh;29;2,6;0,74;1,54;2,6
Schnittlauch getrocknet;169;21,2;3,5;0;26,2
Feldsalat/Rapunzel, roh;18;1,9;0,36;0,808;1,8
Kopfsalat roh;18;1,5;0,22;1,7;1,4
Radicchio roh;20;1,4;0,25;2,6;0,9
Römischer Salat/Romanasalat, roh;14;1,2;0,13;1,3;1,6
Spinat roh;18;2,067;0,3;0,93;1,8
Petersilienblatt getrocknet;238;26,6;5,5;7,3;26,7
Brennnessel roh;46;7,37;0,61;1,309;3,11
Löwenzahn roh;34;3,13;0,62;2,44;3,02
Sauerampfer roh;25;3,19;0,36;1,16;1,95
Gartenkresse roh;31;4,2;0,7;0,23;3,52
Blumenkohl roh;35;2,424;0,28;5,33;2,9
Broccoli roh;35;3,622;0,5967;2,3;3
Rotkohl roh;28;1,563;0,18;3,732;2,5
Rotkohlgemüse (küchenfertig) Konserve;56;1,3;0,15;10,29;3,21
Weißkohl roh;32;1,382;0,19;4,54;3
Sauerkraut Konserve, abgetropft;34;1,15;0,41;2,37;3,95
Fenchelblatt/Bologneser Fenchel, roh;33;2,43;0,3;3,24;4,19
Spargel roh;28;1,96;0,156;3,98;1,4
Porree/Lauch, roh;36;2,14;0,25;5;2,2
Okra roh;32;2,1;0,2;3,05;4,9
Tomate roh;22;0,95;0,11;3,25;1,3
Zuckermais roh;67;3,28;1,23;9,4;2,8
Zuckermais Konserve, abgetropft;79;2,71;1,94;10,84;3,59
Kürbis Pumpkin (C. pepo) roh;36;1,1;0,13;5,81;3,43
Zucchini roh;22;1,3;0,287;3;1,1
Rote Rübe/Rote Bete, roh;43;2,063;0,1;7,22;2,5
Karotte/Möhre, roh;40;0,84;0,4;6,471;2,9
Salzgurke/Salzdillgurke, milchsauer fermentiert, abgetropft;12;0,52;<LOD;1,38;0,7
Nori-Blatt geröstet;261;38,26;4,36;1,76;30,6
Sojalecithin;760;0;83;3,2;0
Erdnussbutter/Erdnusscreme;606;24,08;47,78;16,09;7,44
Haselnuss;667;16,25;63,3;4,2;7,6
Kokos Fruchtfleisch, roh;378;4,623;36,5;3,5;8,32984
Kokos Fruchtfleisch, geraspelt, getrocknet;676;7,38;65,2;7,8;14,8
Kokoswasser (Fruchtwasser);10;0,25;0,4;1,28;-
Cashewkern;618;21,01;47,1;26;3
Paranuss;704;16,96;68,1;2,8;5,8
Edelkastanie/Marone;210;2,925;1,9;41,2;8,37
Pistazie geröstet ohne Fett;603;24,18;49,3;7,6;16,28
Kürbiskern;588;35,49;46,34;2,81;8,66
Gartenbohne reif;344;22,6185;1,6;45,751;23,24
Sojaschnetzel/Sojagranulat, texturiert, trocken;351;50,2;6,74;13,46;18,05
Mungbohne reif;292;23,9;1,15;38,7;15,6
Mandeldrink ungesüßt;24;0,87;2,159;0,2;0,13
Dessert/Puddingalternative, pflanzlich;89;2,32;3,78;10,85;0,99
Soja-Joghurtalternative ungesüßt;44;4,17;2,67;0,33;0
Sojakochcreme;157;2,2;15,7;1,4;0,5
Miso/Sojabohnenpaste;174;10,6;10,5;6,2;6
Sonnenblumenkernaufstrich, Brotaufstrich pflanzlich;308;4,15;27,75;7,84;4,65
Vegetarische Bratwurst (aus Tofu und Weizenprotein);195;18,38;9,79;5,31;5,47
Veganes Schnitzel;297;15,6;18,55;13,57;5,8
Veganer Aufschnitt (Wurstalternative);195;16,8;11,25;4,67;2,8
Vegetarischer Aufschnitt (Wurstalternative, mit Ei);179;7,88;13,41;2,5;7,58
Kartoffel geschält, roh;83;1,94;0,1;17,9;1,42
Kartoffelchips/Stapelchips, diverse Sorten;526;5,5;34,3;45,88;4,8
Maniok/Cassava, roh;146;1;0,23;33,5;2,89
Batate/Süßkartoffel, roh;119;1,63;0,6;25,2;3,14
Topinambur/Erdartischocke, roh;55;2,44;0,41;4;12,07
Yamswurzel roh;123;2;0,13;25,7;5,56
Champignon roh;28;3,66;0,274;2,9;1,9
Morchel roh;29;2,488;0,32;0,6;7,01
